x,y,z,grade
220,575,77,2.34
640,575,77,0.99
560,525,77,1.19
640,525,77,0.99
315,475,77,1.67
415,475,77,1.07
515,475,77,1.52
610,475,77,0.99
365,420,77,1.23
465,425,77,1.21
565,425,77,0.87
660,425,77,2.55
415,370,77,1.05
515,370,77,0.67
615,375,77,0.9
660,375,77,1.55
270,320,77,1.09
370,320,77,1.43
465,320,77,0.85
565,320,77,0.64
660,320,77,1.99
320,270,77,0.94
415,270,77,0.56
515,270,77,0.61
610,270,77,0.94
665,265,77,0.89
370,220,77,1.24
465,220,77,0.48
660,475,77,1.55
660,220,77,0.74
660,475,77,1.55
660,220,77,0.74
220,625,82,1.27
270,625,82,2.13
370,620,82,0.97
460,620,82,0.7
565,620,82,0.89
655,620,82,0.71
220,575,82,1.54
320,575,82,1.72
415,575,82,1.62
515,575,82,0.78
610,575,82,1.14
640,575,82,1.13
365,525,82,1.24
560,525,82,0.87
640,525,82,1.68
220,470,82,2.24
315,475,82,1.46
415,475,82,0.9
515,475,82,1.13
610,475,82,1.3
365,420,82,1.11
465,425,82,0.93
565,425,82,1.29
660,425,82,1.27
320,370,82,1.43
415,370,82,1.07
515,370,82,0.72
615,375,82,0.82
660,375,82,1.21
270,320,82,1.4
370,320,82,0.96
465,320,82,0.91
565,320,82,0.64
660,320,82,0.99
320,270,82,1.07
415,270,82,1.01
515,270,82,0.79
610,270,82,0.68
665,265,82,0.58
370,220,82,0.73
560,220,82,0.62
660,220,82,0.63
660,475,82,1.61
465,220,82,0.62
660,475,82,1.61
465,220,82,0.62
220,625,87,0.96
270,625,87,1.24
370,620,87,1
460,620,87,0.81
565,620,87,0.54
655,620,87,1.14
220,575,87,1.17
320,575,87,0.9
415,575,87,0.84
515,575,87,1.05
610,575,87,1.24
640,575,87,1.22
270,520,87,1.36
560,525,87,1.38
640,525,87,1.8
220,470,87,1.7
315,475,87,1.16
415,475,87,0.86
610,475,87,0.92
660,475,87,1.68
365,420,87,1.75
465,425,87,0.84
565,425,87,1.39
660,425,87,1.25
220,370,87,1.31
320,370,87,1.65
415,370,87,0.86
515,370,87,0.92
615,375,87,1.02
660,375,87,0.79
270,320,87,1.12
370,320,87,1.09
465,320,87,0.86
565,320,87,0.57
660,320,87,0.92
320,270,87,0.93
415,270,87,0.88
515,270,87,0.52
665,265,87,0.65
370,220,87,0.79
465,220,87,0.69
560,220,87,0.47
660,220,87,0.62
515,475,87,1
610,270,87,0.62
515,475,87,1
610,270,87,0.62
220,625,92,1.18
270,625,92,0.85
370,620,92,1.15
460,620,92,0.64
565,620,92,0.54
655,620,92,0.66
220,575,92,0.7
320,575,92,1.18
415,575,92,1.06
515,575,92,0.74
610,575,92,0.56
640,575,92,0.58
270,520,92,0.95
365,525,92,0.93
560,525,92,1.22
220,470,92,0.63
315,475,92,1.07
415,475,92,0.9
515,475,92,0.82
610,475,92,1.43
660,475,92,1.15
365,420,92,0.74
465,425,92,0.64
565,425,92,1.3
660,425,92,1.86
220,370,92,0.9
320,370,92,0.74
415,370,92,0.44
515,370,92,0.54
615,375,92,1.22
660,375,92,0.93
270,320,92,0.63
370,320,92,0.85
465,320,92,0.37
565,320,92,0.53
320,270,92,0.72
415,270,92,0.58
515,270,92,0.6
610,270,92,0.62
665,265,92,0.94
370,220,92,1.06
465,220,92,0.47
560,220,92,0.52
660,220,92,0.67
640,525,92,0.86
660,320,92,1.01
640,525,92,0.86
660,320,92,1.01
220,625,97,0.46
270,625,97,0.49
370,620,97,0.56
460,620,97,0.49
565,620,97,0.4
655,620,97,0.64
220,575,97,0.61
320,575,97,0.57
415,575,97,0.45
515,575,97,0.54
610,575,97,0.59
270,520,97,0.55
365,525,97,0.69
560,525,97,0.88
640,525,97,0.98
220,470,97,0.83
315,475,97,0.71
415,475,97,0.98
515,475,97,0.58
